 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"171070 Itaguatins";-;-;261,60;-;-;523,20;-;-;-;-;261,60;-;287,76;-;-;-;1438,80;1199,04;1151,04;287,76;1151,04;287,76;-;-;287,76;287,76;-;575,52;575,52;1151,04;-;-;287,76;287,76;575,52;-;287,76;-;287,76;1726,56;-;287,76;2877,60;1734,56;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;-;327,76;-;319,76;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20470,32
"171090 Itapiratins";-;-;-;-;1102,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2860,96
"171110 Itaporã do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;442,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;325,71;-;-;-;-;-;-;-;-;-;-;1647,46
"171150 Jaú do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;895,28
"171180 Juarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;303,76;-;-;-;359,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;335,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2773,84
"171190 Lagoa da Confusão";-;-;-;-;-;-;523,20;-;-;-;-;-;-;-;-;-;-;-;-;349,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;381,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1151,04;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,90;-;-;-;-;287,76;-;-;-;-;-;-;-;1151,04;287,76;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;287,76;575,52;-;287,76;-;1151,04;287,76;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;575,52;10524,28
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76
"171200 Lajeado";-;-;-;-;-;-;277,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;385,20;-;-;319,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;599,52;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;-;-;-;-;303,76;-;-;476,06;-;-;-;-;327,76;-;-;-;303,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;325,71;287,76;346,44;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6287,41
"171215 Lavandeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1191,04
"171240 Lizarda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"171245 Luzinópolis";-;-;-;261,60;-;277,60;-;-;293,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;303,76;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;399,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2399,11
"171250 Marianópolis do Tocantins";-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,96;-;-;599,52;303,76;-;-;44,22;-;-;-;-;411,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1932,72
"171270 Mateiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308,43
"171280 Maurilândia do Tocantins";-;-;-;-;-;539,20;-;278,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;295,76;-;287,76;-;-;303,76;-;295,76;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3735,44
"171320 Miracema do Tocantins";-;-;539,20;261,60;523,20;5448,00;9056,80;1340,00;261,60;-;-;-;-;-;-;-;583,52;287,76;311,76;575,52;-;591,52;-;287,76;327,76;615,52;919,28;599,52;287,76;1742,56;1287,04;613,47;303,76;863,28;685,47;1215,04;903,28;895,28;591,52;887,28;591,52;1602,98;917,23;2745,90;1750,56;591,52;287,76;-;599,52;287,76;613,47;903,28;879,28;3245,36;1786,74;6452,24;2412,03;982,55;591,52;-;623,52;646,79;575,52;3743,25;1207,04;1187,10;2086,32;2685,84;1231,04;1542,80;591,52;359,03;591,52;965,23;887,48;2078,32;1900,51;607,52;2639,68;1167,04;631,52;887,28;335,76;-;-;303,76;303,76;-;631,52;911,28;-;1546,86;959,28;319,76;-;591,52;-;1183,04;2637,84;895,28;2102,32;1846,76;895,28;-;319,76;-;-;-;295,76;-;287,76;-;-;287,76;287,76;677,47;287,76;-;-;-;-;-;-;-;-;-;-;1191,04;-;-;-;-;-;47,27;1534,80;1438,80;1773,83;575,52;8535,69;-;889,40;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;123353,07
"171330 Miranorte";-;-;-;2164,80;2632,00;6012,20;1967,20;-;-;-;-;-;-;800,80;-;863,28;2046,32;599,52;575,52;863,28;575,52;287,76;287,76;-;-;1758,56;287,76;2326,08;1151,04;287,76;887,28;2302,08;287,76;-;-;-;-;1151,04;287,76;2326,08;287,76;1526,80;2723,79;1191,04;2318,08;1462,80;575,52;287,76;575,52;575,52;1782,56;1726,56;2014,32;3890,83;4668,16;5201,67;575,52;591,52;-;575,52;287,76;863,28;863,28;3165,36;887,28;1175,04;2597,84;1470,80;1470,80;575,52;-;575,52;3804,88;3320,69;5019,92;6015,26;10551,75;2917,60;2310,08;287,76;287,76;607,52;591,52;-;-;303,76;303,76;-;863,28;-;-;287,76;-;-;-;-;599,52;-;575,52;1183,04;287,76;623,52;575,52;896,84;575,52;287,76;-;-;-;335,76;-;-;-;-;575,52;295,76;287,76;303,76;-;-;-;-;-;-;-;303,76;-;287,76;383,11;287,76;-;-;-;-;-;287,76;-;287,76;1244,40;759,52;-;-;-;-;-;-;303,76;-;-;-;-;335,75;-;-;-;-;-;-;-;128571,09
"171360 Monte do Carmo";-;-;-;261,60;261,60;595,83;261,60;784,80;-;-;-;-;-;-;-;-;-;-;287,76;1438,80;887,28;575,52;-;-;-;-;-;-;-;295,76;-;631,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;287,76;-;-;-;-;305,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308,43;653,53;575,52;287,76;-;287,76;-;-;-;-;-;-;287,76;-;-;333,71;327,76;-;-;-;-;-;-;-;-;11096,59
"171370 Monte Santo do Tocantins";-;-;-;-;281,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;777,37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341,71;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2303,96
"171395 Muricilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;700,43
"171420 Natividade";-;-;-;-;-;594,93;-;-;-;-;-;-;-;-;-;-;287,76;863,28;-;-;287,76;-;-;-;-;-;-;303,76;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;311,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;613,47;575,52;911,28;-;-;-;-;-;-;346,38;-;575,52;-;-;-;-;287,76;-;-;-;-;-;-;575,52;289,17;-;287,76;-;-;-;-;-;-;-;8854,19
"171430 Nazaré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;2014,32;1151,04;287,76;-;-;287,76;287,76;-;-;-;-;-;287,76;-;287,76;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;295,76;-;-;287,76;-;-;-;-;-;1438,80;-;-;-;-;-;-;-;-;287,76;1438,80;-;-;-;287,76;-;-;-;-;-;-;-;863,28;-;-;324,90;-;-;-;-;-;-;-;-;-;895,28;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12738,58
"171488 Nova Olinda";-;-;-;293,60;301,60;297,60;277,60;720,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;385,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;637,47;621,47;364,06;-;-;-;-;-;-;-;-;735,58;-;-;-;-;-;-;-;-;-;5234,45
"171500 Nova Rosalândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;934,55
"171510 Novo Acordo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;360,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;959,64
"171515 Novo Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;575,52;-;575,52;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2893,60
"171525 Novo Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351,96;583,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3565,32
"171550 Oliveira de Fátima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28
"172100 Palmas";-;-;2335,20;1705,60;2750,80;1883,89;6432,44;943,43;261,60;-;-;612,20;-;-;287,76;311,76;311,76;631,52;311,96;2354,01;927,28;741,52;1298,71;395,66;287,76;903,28;1231,04;995,18;1276,99;2771,79;3099,97;2923,67;1199,04;-;319,76;-;-;303,76;647,52;1454,80;1388,21;1347,75;1378,97;3858,62;2194,22;2500,88;325,71;349,71;967,28;895,28;616,50;311,76;4072,10;3009,90;10584,32;2146,22;2522,38;3475,79;697,53;-;659,42;637,47;699,42;287,76;2116,47;871,28;2170,22;1554,70;287,76;-;-;327,76;-;943,28;287,76;575,52;663,72;903,28;303,76;1236,99;1336,89;-;295,76;-;-;-;341,71;333,71;1519,38;303,76;1260,18;925,23;977,45;784,90;1055,86;688,96;3046,77;-;981,39;1183,04;2691,76;1196,99;303,76;287,76;-;583,52;-;-;-;-;-;658,57;303,76;599,52;717,59;4329,95;-;-;-;-;1892,61;-;-;-;-;303,76;-;295,76;303,76;-;-;-;-;295,76;2511,28;3863,87;2740,98;1660,54;1097,01;1856,81;1892,51;1466,39;-;-;-;643,82;-;639,52;-;-;1182,42;926,16;607,52;-;-;-;348,90;-;-;150318,91
"171570 Palmeirante";-;-;-;-;269,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;311,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;295,76;-;-;287,76;-;420,87;295,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;335,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;325,71;-;-;-;63,27;-;-;-;-;-;-;4091,33
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;287,76;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;583,52;287,76;863,28;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;575,52;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4610,00
"171575 Palmeirópolis";-;-;-;2640,00;784,80;1569,60;1847,20;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1167,04;591,52;1454,80;-;287,76;575,52;287,76;-;303,76;575,52;-;295,76;-;-;583,52;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;3453,12;2302,08;2877,60;287,76;-;287,76;-;-;287,76;-;-;287,76;-;1151,04;287,76;-;-;-;335,76;-;-;287,76;287,76;-;287,76;287,76;575,52;1438,80;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29996,24
"171610 Paraíso do Tocantins";-;-;1541,00;1761,60;872,80;301,60;261,60;-;-;261,60;-;-;-;-;-;-;287,76;-;-;-;357,71;-;325,71;607,52;325,71;-;1337,09;1508,75;1492,75;2314,06;2771,99;639,52;-;721,53;349,71;-;-;311,76;-;-;327,76;651,42;-;-;981,43;-;287,76;1368,89;319,76;-;2016,41;7464,95;5477,85;5130,19;1879,59;-;-;311,76;287,76;-;349,91;-;-;-;909,23;311,76;2254,12;-;-;-;-;319,76;-;-;-;1035,18;-;1890,98;645,47;1340,95;629,47;357,71;631,52;327,76;-;-;311,76;-;-;599,52;-;327,76;-;-;-;-;-;-;729,37;1015,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1060,50;373,71;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;583,52;3099,75;4145,30;2200,17;1390,99;677,47;607,52;-;653,67;-;-;60,22;357,71;788,42;629,47;-;-;-;-;-;-;-;-;-;-;76048,87
"171620 Paranã";-;-;-;-;-;261,60;784,80;261,60;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;349,91;-;575,52;287,76;591,52;-;-;-;-;-;-;-;-;287,76;2589,84;2589,84;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;1726,56;-;287,76;-;-;-;-;-;-;-;287,76;287,76;575,52;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;575,52;863,28;575,52;-;287,76;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;324,90;-;-;-;-;649,80;324,90;649,80;324,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19775,01
