DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210780 Parnarama";1;-;-;-;-;-;-;-;-;-;-;-;1
"210790 Passagem Franca";-;-;-;1;-;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;14;7;-;-;-;-;-;-;-;-;21
"210820 Pedreiras";-;-;1;-;-;-;-;-;-;-;-;-;1
"210845 Peritoró";-;-;-;-;-;-;-;-;-;-;-;1;1
"210850 Pindaré-Mirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"210860 Pinheiro";-;-;-;-;-;-;-;1;-;-;-;-;1
"210870 Pio XII";-;-;-;-;-;1;-;-;-;-;-;-;1
"210880 Pirapemas";-;-;-;-;-;-;-;1;-;1;-;-;2
"210890 Poção de Pedras";-;-;-;-;1;-;-;-;-;-;-;-;1
"210900 Porto Franco";-;1;-;1;-;-;-;-;-;-;-;-;2
"210910 Presidente Dutra";-;1;-;-;-;-;-;-;-;-;-;-;1
"210920 Presidente Juscelino";-;-;-;-;-;1;-;-;-;-;-;-;1
"210927 Presidente Sarney";1;6;13;-;2;-;-;1;-;-;-;-;23
"210945 Raposa";-;-;-;-;-;-;-;1;1;-;1;-;3
"210950 Riachão";-;4;7;-;2;-;-;-;1;-;-;-;14
"210960 Rosário";1;-;1;-;-;1;2;-;1;-;-;-;6
"210990 Santa Inês";-;2;-;-;-;-;-;1;-;-;-;-;3
"211000 Santa Luzia";-;1;-;-;-;-;-;-;-;-;-;1;2
"211003 Santa Luzia do Paruá";-;-;-;-;-;-;-;-;-;-;-;1;1
"211020 Santa Rita";-;-;1;-;1;-;-;2;-;1;-;-;5
"211027 Santo Amaro do Maranhão";-;-;-;-;-;-;-;-;-;-;-;1;1
"211040 São Benedito do Rio Preto";-;-;-;-;-;-;2;-;-;-;-;-;2
"211050 São Bento";-;-;-;-;-;-;-;-;-;-;1;-;1
"211070 São Domingos do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"211085 São Francisco do Brejão";1;1;-;-;-;-;-;-;-;-;-;-;2
"211102 São João do Carú";-;-;-;-;-;-;-;-;-;2;-;-;2
"211105 São João do Paraíso";-;-;-;1;-;-;-;-;-;-;-;-;1
"211110 São João dos Patos";-;-;-;-;1;-;-;-;-;-;-;-;1
"211120 São José de Ribamar";5;13;5;3;2;2;-;2;2;3;-;2;39
"211130 São Luís";100;244;137;80;24;16;12;11;14;12;15;12;677
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"211150 São Mateus do Maranhão";-;2;-;2;-;-;-;-;-;-;-;-;4
"211160 São Raimundo das Mangabeiras";1;2;1;3;1;-;-;-;-;-;-;-;8
"211172 Satubinha";2;-;1;-;-;-;-;-;-;-;-;-;3
"211176 Senador La Rocque";2;3;-;-;-;-;-;-;-;-;-;-;5
"211190 Sucupira do Norte";-;-;-;-;-;-;-;-;-;-;-;1;1
"211200 Tasso Fragoso";-;1;-;27;27;3;1;-;-;-;-;-;59
"211210 Timbiras";-;-;-;-;-;-;-;1;-;-;-;-;1
"211220 Timon";1;1;-;4;-;-;3;-;-;-;-;-;9
"211230 Tuntum";-;1;-;-;-;-;-;-;-;-;-;-;1
"211240 Turiaçu";-;-;1;-;-;-;-;-;-;-;-;-;1
"211250 Tutóia";-;-;1;-;-;1;-;-;-;-;-;-;2
"211260 Urbano Santos";-;-;-;-;1;-;-;-;-;-;-;-;1
"211280 Viana";-;-;-;-;-;-;-;-;-;-;-;1;1
"211400 Zé Doca";2;1;1;3;7;-;1;-;-;-;-;-;15
"220005 Acauã";-;-;1;-;7;2;1;-;-;-;-;-;11
"220010 Agricolândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"220020 Água Branca";-;-;-;-;1;-;-;-;-;-;-;-;1
"220025 Alagoinha do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220027 Alegrete do Piauí";1;-;-;-;-;-;-;-;-;-;-;-;1
"220030 Alto Longá";-;1;2;-;-;-;-;-;1;-;-;-;4
"220040 Altos";-;-;-;1;-;-;-;-;-;-;-;-;1
"220045 Alvorada do Gurguéia";-;-;1;-;-;-;-;-;-;-;-;-;1
"220080 Antônio Almeida";-;-;-;-;1;-;-;-;-;-;-;-;1
"220100 Arraial";-;-;-;-;-;2;1;-;-;-;-;-;3
"220115 Baixa Grande do Ribeiro";-;-;1;1;4;1;-;-;-;-;-;-;7
"220120 Barras";-;4;6;2;-;-;-;-;-;-;-;-;12
"220130 Barreiras do Piauí";-;-;-;1;1;-;-;-;-;-;-;-;2
"220157 Belém do Piauí";-;-;-;3;15;6;-;-;-;-;-;-;24
"220160 Beneditinos";-;1;-;-;1;-;1;-;-;-;-;-;3
"220190 Bom Jesus";1;4;3;5;6;1;-;1;-;-;-;-;21
"220202 Buriti dos Montes";-;-;-;4;10;5;3;3;-;-;-;-;25
"220208 Cajueiro da Praia";-;-;-;-;-;-;-;-;-;-;1;-;1
"220210 Campinas do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220213 Campo Grande do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220220 Campo Maior";-;-;-;-;-;-;-;-;-;-;-;1;1
"220260 Castelo do Piauí";-;-;-;1;2;-;-;-;-;-;-;-;3
"220272 Cocal dos Alves";-;-;-;-;-;1;-;-;-;-;-;-;1
"220273 Coivaras";-;-;-;-;1;-;-;-;-;-;-;-;1
"220290 Corrente";-;2;8;1;5;-;-;-;-;-;-;-;16
"220300 Cristalândia do Piauí";-;-;1;-;-;-;-;-;-;-;-;-;1
"220320 Curimatá";-;1;1;2;-;-;-;-;-;-;-;-;4
"220327 Curral Novo do Piauí";-;-;1;-;4;-;-;-;-;-;-;-;5
"220370 Esperantina";-;-;-;-;1;1;-;-;-;-;-;-;2
"220390 Floriano";-;-;5;-;-;1;-;-;-;-;1;-;7
"220410 Francisco Ayres";-;-;-;1;-;-;-;-;-;-;-;-;1
"220415 Francisco Macedo";-;-;-;1;1;-;-;-;-;-;-;-;2
"220430 Fronteiras";-;-;2;-;4;1;-;-;-;-;-;-;7
"220435 Geminiano";-;-;-;-;1;-;-;-;-;-;-;-;1
"220465 Ilha Grande";-;-;-;-;-;-;-;-;1;-;-;-;1
"220500 Itainópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"220535 João Costa";-;-;-;-;1;-;-;-;-;-;1;-;2
"220540 Joaquim Pires";-;-;-;1;-;-;-;-;-;-;-;-;1
"220550 José de Freitas";-;-;-;-;1;-;-;-;-;-;-;-;1
"220552 Júlio Borges";-;3;2;-;-;-;-;-;-;-;-;-;5
"220555 Lagoa Alegre";-;-;-;-;-;-;1;-;-;-;-;-;1
"220557 Lagoa de São Francisco";-;-;2;1;-;-;1;-;-;-;-;-;4
"220556 Lagoa do Barro do Piauí";-;-;-;-;6;15;13;2;3;1;-;-;40
"220554 Lagoinha do Piauí";1;-;-;-;-;-;-;-;-;-;-;-;1
"220570 Luís Correia";1;-;-;-;-;-;-;-;-;-;-;-;1
"220595 Marcolândia";-;-;1;7;-;-;-;-;-;-;-;-;8
"220600 Marcos Parente";-;-;2;-;-;-;-;-;-;-;-;-;2
"220630 Miguel Leão";-;-;-;-;1;-;-;-;-;-;-;-;1
"220640 Monsenhor Gil";-;-;3;14;6;-;-;-;-;-;-;-;23
"220690 Novo Oriente do Piauí";-;-;1;-;-;-;-;-;-;-;-;-;1
"220695 Novo Santo Antônio";-;1;-;-;-;-;1;-;-;-;-;-;2
"220700 Oeiras";-;1;-;-;12;5;13;2;-;-;-;-;33
"220720 Padre Marcos";-;-;-;-;1;-;-;-;-;-;-;-;1
"220730 Paes Landim";1;-;-;-;-;-;-;-;-;-;-;-;1
"220760 Parnaguá";-;-;1;2;6;1;-;-;-;-;-;1;11
"220770 Parnaíba";-;-;2;-;1;1;1;-;-;-;-;-;5
"220777 Patos do Piauí";-;-;-;-;12;1;-;-;2;-;-;-;15
"220780 Paulistana";-;-;3;6;4;5;-;3;-;2;-;-;23
"220790 Pedro II";-;3;8;9;3;3;-;2;-;-;-;-;28
"220800 Picos";1;1;-;-;1;4;3;1;1;-;-;-;12
"220830 Piracuruca";-;1;-;-;-;-;-;-;-;-;-;-;1
"220840 Piripiri";-;-;-;3;-;1;-;2;-;-;-;-;6
"220865 Queimada Nova";-;-;-;-;3;4;5;1;-;-;-;-;13
"220880 Regeneração";-;2;-;-;-;-;-;-;-;-;-;-;2
"220890 Ribeiro Gonçalves";-;-;-;30;12;-;-;-;-;-;-;-;42
"220910 Santa Cruz do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;1
"220920 Santa Filomena";-;-;4;10;10;1;1;-;-;-;-;-;26
"220940 Santo Antônio de Lisboa";-;-;-;1;18;5;-;-;-;-;-;-;24
"220950 Santo Inácio do Piauí";-;-;-;-;-;-;-;-;-;-;1;-;1
"220970 São Francisco do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;1
"220995 São João da Varjota";1;-;-;-;-;-;-;-;-;-;-;1;2
"220997 São João do Arraial";1;-;1;-;-;-;-;-;-;-;-;-;2
"221000 São João do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"221005 São José do Divino";-;-;-;1;-;-;-;-;-;-;-;-;1
"221030 São Julião";-;-;-;1;2;-;-;-;-;-;-;-;3
"221050 São Pedro do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;1
"221060 São Raimundo Nonato";-;-;1;-;-;-;-;-;-;-;-;-;1
"221063 Sebastião Leal";-;-;-;-;-;-;-;-;1;-;-;-;1
"221070 Simões";-;-;1;14;18;2;-;-;-;-;-;-;35
"221100 Teresina";58;121;176;77;139;68;55;28;28;20;26;33;829
"221110 União";-;-;1;-;-;-;-;-;-;-;-;-;1
"221120 Uruçuí";-;1;1;7;5;-;1;-;-;-;-;-;15
"221150 Vera Mendes";-;-;-;-;-;1;-;-;-;-;-;-;1
"221160 Vila Nova do Piauí";-;-;-;-;4;9;-;-;-;-;-;-;13
"230010 Abaiara";-;1;4;28;6;1;-;-;-;-;-;-;40
"230030 Acopiara";1;4;2;6;12;-;2;3;-;3;-;-;33
"230040 Aiuaba";-;-;1;-;-;-;-;-;-;-;-;-;1
"230050 Alcântaras";-;-;-;-;2;1;1;3;-;1;-;-;8
"230060 Altaneira";-;-;-;-;3;1;1;-;-;1;-;-;6
"230070 Alto Santo";-;-;-;1;1;3;3;-;-;-;1;1;10
"230075 Amontada";-;-;-;-;-;1;-;-;-;-;-;-;1
"230080 Antonina do Norte";1;1;4;4;4;1;-;-;-;-;-;-;15
"230110 Aracati";4;8;22;22;46;70;46;25;8;4;5;2;262
"230120 Aracoiaba";-;1;-;-;1;-;-;-;1;-;-;-;3
"230125 Ararendá";-;-;-;-;1;-;-;-;-;-;-;-;1
"230130 Araripe";-;1;-;1;-;-;-;-;-;-;-;-;2
"230140 Aratuba";-;-;-;-;1;-;-;-;-;2;-;-;3
"230160 Assaré";-;-;-;-;1;2;1;-;-;-;-;1;5
"230170 Aurora";-;-;-;2;1;-;-;-;-;-;-;-;3
"230180 Baixio";-;-;-;-;1;-;-;-;-;-;-;-;1
"230185 Banabuiú";1;1;-;2;1;8;3;-;-;-;-;-;16
"230190 Barbalha";10;12;41;40;47;12;1;1;1;-;2;3;170
"230200 Barro";-;-;2;1;1;-;-;1;-;-;-;-;5
"230210 Baturité";-;-;-;-;-;1;1;-;-;-;-;-;2
"230220 Beberibe";-;-;1;-;-;-;-;-;-;-;-;-;1
"230230 Bela Cruz";-;-;-;-;-;-;-;-;-;1;-;-;1
"230240 Boa Viagem";-;-;-;-;1;1;1;-;-;1;1;-;5
"230250 Brejo Santo";37;67;42;20;34;18;18;11;8;6;8;3;272
"230260 Camocim";-;1;-;1;-;-;-;-;-;-;-;-;2
"230270 Campos Sales";1;-;-;-;-;-;-;-;-;-;-;-;1
"230280 Canindé";-;1;-;-;-;-;-;2;-;-;1;-;4
"230290 Capistrano";-;-;-;-;-;-;1;-;3;-;-;-;4
"230310 Cariré";-;-;-;-;-;-;2;3;-;1;-;-;6
"230320 Caririaçu";7;32;46;38;8;1;-;-;-;-;-;-;132
"230330 Cariús";-;-;-;-;1;-;-;-;-;-;-;-;1
"230340 Carnaubal";-;1;-;-;-;-;-;-;1;-;1;-;3
"230350 Cascavel";-;1;1;-;-;-;1;1;-;-;1;-;5
"230360 Catarina";52;72;20;4;9;1;1;1;-;-;-;8;168
"230370 Caucaia";7;21;19;4;1;1;16;7;11;6;8;2;103
"230380 Cedro";-;1;-;3;7;24;24;13;2;-;-;-;74
"230400 Coreaú";-;-;-;-;1;-;1;-;-;-;-;-;2
"230410 Crateús";1;1;4;5;10;8;6;4;-;-;-;-;39
"230420 Crato";14;126;353;557;304;90;34;8;-;-;5;2;1493
"230428 Eusébio";1;-;-;-;-;-;-;1;-;-;-;-;2
"230430 Farias Brito";-;2;1;5;3;-;1;2;1;1;1;-;17
"230435 Forquilha";-;-;-;-;2;-;-;-;-;-;-;-;2
"230440 Fortaleza";76;232;302;323;276;292;279;219;83;60;70;46;2258
"230445 Fortim";-;-;2;-;-;-;-;-;-;-;-;-;2
"230480 Granjeiro";-;-;-;1;1;-;-;-;-;-;-;-;2
"230495 Guaiúba";1;-;-;-;-;-;-;-;-;-;-;-;1
"230500 Guaraciaba do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"230510 Guaramiranga";-;-;-;11;5;-;-;-;-;-;-;-;16
"230523 Horizonte";1;1;5;1;-;-;-;1;-;-;-;1;10
"230533 Ibicuitinga";26;27;10;1;-;8;59;18;6;4;-;1;160
"230540 Icó";16;195;320;240;201;86;33;5;2;1;-;-;1099
"230550 Iguatu";9;22;87;24;63;152;169;35;5;1;2;2;571
"230560 Independência";-;-;-;-;-;1;-;1;-;-;-;-;2
"230565 Ipaporanga";-;-;17;170;86;27;7;4;-;-;-;-;311
"230580 Ipu";-;-;-;3;-;3;3;-;1;5;2;1;18
"230600 Iracema";-;-;-;-;-;1;-;-;-;-;-;-;1
"230610 Irauçuba";-;-;8;2;2;6;4;12;5;2;-;-;41
"230620 Itaiçaba";-;-;-;-;1;1;-;-;-;-;-;-;2
"230625 Itaitinga";-;-;1;-;-;-;-;1;-;-;-;-;2
"230640 Itapipoca";-;-;-;-;-;-;-;1;-;-;1;-;2
"230650 Itapiúna";-;-;1;-;-;1;-;-;-;-;-;-;2
"230655 Itarema";3;1;1;1;-;-;-;-;-;-;-;-;6
"230670 Jaguaretama";-;-;1;-;1;-;1;2;-;2;-;-;7
"230680 Jaguaribara";-;-;-;-;1;2;5;1;1;-;-;1;11
"230700 Jaguaruana";3;2;-;1;1;-;2;-;2;-;-;1;12
"230710 Jardim";1;2;2;12;2;-;-;-;-;-;-;-;19
"230720 Jati";1;1;1;3;5;1;1;1;-;-;-;-;14
"230725 Jijoca de Jericoacoara";-;2;1;-;-;-;-;-;-;-;-;1;4
"230730 Juazeiro do Norte";1;10;20;72;52;9;3;1;2;-;1;1;172
"230750 Lavras da Mangabeira";-;-;-;18;5;2;2;-;-;-;-;-;27
"230760 Limoeiro do Norte";1;4;15;28;21;34;137;147;71;33;3;-;494
"230763 Madalena";4;5;3;10;1;-;-;-;-;-;-;-;23
"230765 Maracanaú";1;1;2;1;-;2;2;3;3;-;3;-;18
"230770 Maranguape";3;3;2;-;-;-;-;-;1;7;7;7;30
"230800 Massapê";-;1;1;3;2;-;-;-;-;1;-;-;8
"230810 Mauriti";-;3;6;38;55;41;7;1;7;-;-;-;158
"230820 Meruoca";-;-;-;-;-;1;-;-;-;-;-;-;1
"230830 Milagres";50;189;187;81;23;12;-;2;2;-;1;2;549
"230835 Milhã";-;-;2;-;-;2;-;-;-;-;-;-;4
"230840 Missão Velha";3;5;3;4;5;2;-;-;-;-;-;-;22
"230850 Mombaça";14;14;15;34;36;13;6;11;3;-;-;1;147
"230870 Morada Nova";1;-;-;1;7;6;11;19;4;-;2;1;52
"230880 Moraújo";-;-;-;1;2;-;-;-;-;-;-;-;3
"230910 Mulungu";1;1;1;10;2;-;6;-;-;-;-;-;21
"230920 Nova Olinda";-;-;-;-;-;2;-;-;-;1;-;-;3
"230930 Nova Russas";-;-;-;1;-;3;2;-;-;-;-;-;6
"230940 Novo Oriente";-;-;-;-;5;1;-;-;-;-;-;-;6
"230950 Orós";-;-;2;-;-;-;-;-;-;-;-;-;2
"230960 Pacajus";-;-;1;-;-;-;-;2;-;-;-;-;3
"230970 Pacatuba";1;5;10;7;3;-;4;1;1;-;-;-;32
"230980 Pacoti";-;-;-;1;-;-;-;-;-;-;-;-;1
"231020 Paracuru";-;-;-;-;-;-;1;-;-;-;-;-;1
"231030 Parambu";-;1;-;-;-;-;-;-;-;-;-;-;1
"231050 Pedra Branca";-;-;1;1;-;-;-;-;-;-;-;-;2
"231060 Penaforte";1;3;-;2;18;23;8;6;1;1;-;-;63
"231070 Pentecoste";1;1;-;-;-;3;-;1;-;-;1;-;7
"231080 Pereiro";-;-;-;1;1;8;7;7;4;8;4;2;42
"231095 Pires Ferreira";-;-;-;-;-;1;-;1;-;-;2;-;4
"231100 Poranga";-;-;-;-;2;-;-;-;-;-;-;-;2
"231110 Porteiras";1;2;2;-;1;2;-;-;1;1;1;2;13
"231120 Potengi";-;-;-;5;10;1;-;-;-;-;-;-;16
"231126 Quiterianópolis";-;-;-;-;-;1;-;-;-;1;1;-;3
"231130 Quixadá";-;-;-;-;-;-;1;-;-;-;-;-;1
"231140 Quixeramobim";15;2;7;14;227;211;97;27;26;5;1;2;634
"231150 Quixeré";1;-;-;-;3;8;1;4;3;-;-;2;22
"231170 Reriutaba";1;-;-;-;-;-;-;-;1;2;1;-;5
"231180 Russas";8;9;7;12;13;24;14;10;6;6;4;8;121
"231190 Saboeiro";-;-;6;-;-;-;-;-;-;-;-;-;6
"231210 Santana do Cariri";-;1;3;1;1;7;-;-;1;-;-;1;15
"231250 São João do Jaguaribe";-;1;-;4;12;-;2;2;-;-;1;-;22
"231260 São Luís do Curu";-;-;-;-;-;-;-;-;-;-;5;1;6
"231270 Senador Pompeu";-;-;-;-;1;-;-;-;-;-;-;-;1
"231280 Senador Sá";-;-;1;-;1;-;-;-;-;-;-;-;2
"231290 Sobral";-;1;1;1;-;1;1;-;-;-;3;1;9
"231300 Solonópole";-;-;-;-;-;1;7;7;3;-;1;-;19
"231310 Tabuleiro do Norte";-;-;4;11;14;4;4;7;5;2;1;-;52
"231320 Tamboril";-;-;1;-;-;-;1;-;-;-;-;-;2
"231325 Tarrafas";-;1;-;-;-;-;-;-;-;-;-;-;1
"231330 Tauá";2;4;17;8;16;11;4;2;-;-;-;1;65
"231340 Tianguá";-;-;-;-;-;2;1;-;1;-;1;-;5
"231355 Tururu";-;-;1;-;-;-;-;-;-;-;-;-;1
"231370 Umari";-;-;1;-;-;-;-;-;-;-;-;-;1
"231400 Várzea Alegre";-;3;3;22;68;57;28;5;-;3;-;1;190
"240010 Acari";-;-;-;1;-;1;-;-;-;-;-;-;2
"240020 Açu";-;2;-;-;8;17;27;10;4;9;3;2;82
"240040 Água Nova";-;-;1;-;-;-;-;-;-;-;-;-;1
"240070 Alto do Rodrigues";-;-;-;-;1;-;-;-;-;-;-;-;1
"240080 Angicos";1;-;-;-;-;-;-;4;-;-;-;-;5
"240110 Areia Branca";1;-;-;-;-;1;3;2;-;-;-;-;7
"240130 Augusto Severo";-;-;-;-;1;-;-;-;-;-;-;-;1
"240140 Baía Formosa";-;-;-;-;-;-;1;-;-;-;-;-;1
"240145 Baraúna";-;-;1;-;4;1;2;2;-;-;-;-;10
"240150 Barcelona";-;-;-;-;1;1;-;-;-;-;-;-;2
"240180 Brejinho";-;-;-;-;2;1;1;-;-;-;-;-;4
"240185 Caiçara do Norte";-;-;-;-;-;-;5;-;-;-;-;-;5
"240200 Caicó";-;-;-;-;-;-;1;-;-;1;-;-;2
"240220 Canguaretama";-;-;-;-;-;-;1;-;-;-;-;-;1
"240240 Carnaúba dos Dantas";-;1;3;2;4;1;-;-;-;-;-;-;11
"240250 Carnaubais";-;-;-;-;4;41;6;-;-;-;-;-;51
"240270 Cerro Corá";1;-;1;-;-;-;-;-;-;-;-;-;2
"240280 Coronel Ezequiel";-;-;-;-;1;-;1;-;-;-;-;-;2
"240290 Coronel João Pessoa";-;-;-;-;-;1;-;-;-;-;-;-;1
"240300 Cruzeta";-;-;-;-;-;-;-;-;-;-;1;-;1
"240320 Doutor Severiano";-;-;-;-;1;1;-;-;-;-;-;-;2
"240340 Equador";-;-;1;-;1;3;-;-;-;-;-;-;5
"240360 Extremoz";3;-;-;1;-;-;-;-;1;-;-;-;5
"240375 Fernando Pedroza";-;-;-;-;-;-;-;1;-;-;-;-;1
"240390 Francisco Dantas";-;1;-;-;-;-;-;-;-;-;-;-;1
"240410 Galinhos";-;-;1;-;1;-;-;-;-;-;-;-;2
"240420 Goianinha";-;1;-;-;-;-;-;-;-;-;-;-;1
"240430 Governador Dix-Sept Rosado";-;-;-;1;-;-;4;6;1;-;-;-;12
"240450 Guamaré";13;8;-;-;2;7;6;-;3;12;-;4;55
"240470 Ipanguaçu";-;-;1;-;1;-;-;-;-;-;-;-;2
"240490 Itaú";-;-;-;-;2;-;4;3;-;-;-;-;9
"240500 Jaçanã";-;4;9;8;6;9;2;-;-;-;-;-;38
"240510 Jandaíra";-;-;1;-;-;-;-;-;-;-;-;-;1
"240520 Janduís";-;-;1;1;-;-;1;-;-;-;-;-;3
"240540 Japi";1;2;1;-;-;4;29;17;3;-;-;-;57
"240550 Jardim de Angicos";1;-;-;3;-;-;-;-;-;-;-;-;4
"240570 Jardim do Seridó";2;-;2;2;3;2;2;-;-;-;1;-;14
"240610 Jucurutu";-;-;-;-;-;-;1;-;-;-;-;-;1
"240690 Lucrécia";-;-;-;-;1;-;-;-;-;-;-;-;1
"240700 Luís Gomes";1;-;-;-;-;-;-;-;-;-;-;-;1
"240720 Macau";-;-;1;-;-;-;-;-;-;-;-;-;1
"240750 Maxaranguape";1;2;-;-;-;-;-;-;-;-;-;-;3
"240760 Messias Targino";-;-;-;-;1;-;-;-;-;-;-;-;1
"240790 Monte das Gameleiras";-;-;-;-;2;-;-;-;-;-;-;-;2
"240800 Mossoró";1;9;34;2;3;1;2;12;25;19;13;58;179
"240810 Natal";36;36;35;28;45;17;26;13;11;8;6;4;265
"240830 Nova Cruz";1;-;-;-;2;-;1;-;-;-;-;-;4
"240840 Olho-d'Água do Borges";-;-;-;-;-;-;-;-;1;-;-;-;1
"240890 Parelhas";6;2;6;17;9;1;-;-;-;-;-;1;42
"240325 Parnamirim";-;-;-;1;1;-;1;-;1;-;1;-;5
"240910 Passa e Fica";1;8;4;2;-;-;2;2;1;-;-;-;20
"240930 Patu";-;-;-;-;-;2;1;-;-;-;-;-;3
"240950 Pedra Grande";-;-;-;-;-;2;-;-;-;-;-;-;2
"241020 Portalegre";-;3;21;13;-;-;-;-;-;-;-;-;37
"241040 Pureza";-;-;1;-;-;-;-;-;-;-;-;-;1
"241110 Ruy Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;1
"241120 Santa Cruz";-;1;-;-;-;-;-;1;-;-;-;-;2
"241150 Santo Antônio";-;1;-;-;-;-;-;-;-;-;-;-;1
"241160 São Bento do Norte";-;4;1;-;-;2;-;-;-;-;-;-;7
"241180 São Fernando";-;-;2;1;1;1;-;-;-;-;-;-;5
"241200 São Gonçalo do Amarante";-;-;1;-;1;-;-;1;-;-;-;-;3
"241210 São João do Sabugi";-;-;-;-;1;-;-;-;-;-;-;-;1
"241220 São José de Mipibu";1;-;-;-;1;-;-;-;-;-;-;-;2
"241230 São José do Campestre";-;-;-;-;-;-;-;-;1;-;-;-;1
"241250 São Miguel";-;-;-;-;-;-;1;-;-;-;-;-;1
"241290 São Tomé";-;-;-;-;-;1;-;-;1;-;-;-;2
"241030 Serra Caiada";-;-;-;-;1;-;-;-;-;-;-;-;1
"241330 Serra de São Bento";-;-;5;-;-;5;-;-;-;-;-;-;10
"241340 Serra Negra do Norte";-;-;-;-;-;1;-;-;-;-;-;-;1
"241350 Serrinha";-;-;-;-;1;2;-;1;-;-;-;-;4
"241360 Severiano Melo";-;-;-;-;-;-;1;-;-;-;-;-;1
"241370 Sítio Novo";-;-;-;1;-;-;-;-;-;-;-;-;1
"241390 Taipu";-;-;-;-;1;-;-;-;-;-;-;-;1
"241415 Tenente Laurentino Cruz";-;1;1;-;-;-;-;-;-;-;-;-;2
"241105 Tibau";-;1;-;3;10;3;1;-;-;-;-;-;18
"241420 Tibau do Sul";-;-;1;1;-;-;-;-;-;-;-;-;2
"241440 Touros";-;-;-;1;-;-;-;-;-;-;-;-;1
"241460 Upanema";-;-;-;1;-;-;-;-;-;-;-;-;1
"241470 Várzea";-;-;-;-;-;-;-;1;-;-;-;-;1
"241475 Venha-Ver";-;-;2;-;-;-;-;-;-;-;-;-;2
"241480 Vera Cruz";-;-;-;-;-;-;1;-;-;-;-;-;1
"250010 Água Branca";-;-;-;-;1;1;1;-;-;1;-;-;4
"250030 Alagoa Grande";1;3;1;2;7;6;9;4;1;2;1;1;38
"250040 Alagoa Nova";-;-;-;-;5;1;7;1;-;2;1;3;20
"250050 Alagoinha";-;-;-;-;-;-;-;-;-;-;-;1;1
"250073 Amparo";-;-;-;-;-;-;-;-;-;1;-;-;1
"250077 Aparecida";1;1;3;-;-;-;-;-;-;-;-;-;5
"250080 Araçagi";-;-;1;-;-;2;-;-;-;-;-;-;3
"250100 Araruna";1;-;-;-;-;1;1;-;-;-;-;-;3
"250110 Areia";-;-;-;-;-;-;-;2;-;-;-;-;2
"250120 Areial";1;-;1;1;4;4;2;-;1;-;-;-;14
"250130 Aroeiras";-;-;1;-;1;1;-;1;1;-;-;-;5
"250150 Bananeiras";-;-;-;-;2;-;-;-;-;-;-;-;2
"250153 Baraúna";-;-;-;2;10;29;15;7;1;1;-;5;70
"250157 Barra de Santana";-;-;-;-;-;2;7;5;6;-;-;-;20
"250180 Bayeux";2;6;4;-;-;2;-;1;-;1;-;3;19
"250205 Bernardino Batista";-;-;1;3;1;2;5;2;-;-;-;-;14
"250210 Boa Ventura";-;-;-;-;-;1;-;-;-;-;-;-;1
"250215 Boa Vista";-;1;-;-;-;-;-;-;-;-;-;-;1
"250220 Bom Jesus";-;1;-;-;1;1;1;-;-;-;-;-;4
"250250 Boqueirão";1;1;5;23;54;18;7;4;-;-;-;1;114
"250270 Borborema";-;-;-;-;7;7;1;-;-;-;-;-;15
"250280 Brejo do Cruz";-;-;-;-;2;1;2;-;1;1;-;-;7
"250300 Caaporã";-;-;-;-;-;1;-;-;-;-;-;-;1
"250310 Cabaceiras";-;-;-;-;2;1;1;1;1;1;-;-;7
"250320 Cabedelo";-;-;1;-;-;-;-;-;-;-;-;1;2
"250330 Cachoeira dos Índios";-;-;-;1;-;1;-;-;-;-;-;-;2
"250370 Cajazeiras";-;7;-;1;-;-;-;1;-;-;-;-;9
"250380 Caldas Brandão";-;1;11;7;2;5;1;-;-;-;-;-;27
"250390 Camalaú";-;-;-;-;-;-;-;-;-;1;-;-;1
"250400 Campina Grande";2;-;2;14;52;82;71;33;11;4;2;-;273
"250407 Caraúbas";-;-;-;2;-;-;-;-;1;-;-;-;3
"250420 Catingueira";-;-;-;-;-;-;-;-;-;1;-;-;1
"250435 Caturité";-;-;-;2;1;6;4;13;3;-;1;-;30
"250440 Conceição";-;-;1;-;-;-;-;-;-;-;-;-;1
"250450 Condado";1;-;-;1;-;-;-;-;-;-;-;-;2
"250460 Conde";7;1;3;2;-;3;1;-;-;1;-;3;21
