 Procedimentos hospitalares do SUS - por local de residência - Paraná
Valor total por Procedimento
Município: 411370 Londrina
Período:Jan-Abr/2019
"Procedimento";"Valor_total"
"0415020050 PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA";714995,13
"0415020069 PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA";38108,42
"0415020077 PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA";61316,20
"0415030013 TRATAMENTO CIRURGICO EM POLITRAUMATIZADO";362178,97
"0415040027 DEBRIDAMENTO DE FASCEITE NECROTIZANTE";14120,46
"0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS";209041,56
"0416010040 CISTOENTEROPLASTIA EM ONCOLOGIA";5378,25
"0416010075 NEFRECTOMIA TOTAL EM ONCOLOGIA";2778,72
"0416010091 NEFROURETERECTOMIA TOTAL EM ONCOLOGIA";2383,10
"0416010113 ORQUIECTOMIA UNILATERAL EM ONCOLOGIA";2000,29
"0416010121 PROSTATECTOMIA EM ONCOLOGIA";22315,79
"0416010130 PROSTATOVESICULECTOMIA RADICAL EM ONCOLOGIA";29606,03
"0416010172 RESSECÇÃO ENDOSCÓPICA DE TUMOR VESICAL EM ONCOLOGIA";19016,92
"0416020151 LINFADENECTOMIA RADICAL CERVICAL UNILATERAL EM ONCOLOGIA";9498,48
"0416020160 LINFADENECTOMIA RADICAL MODIFICADA CERVICAL UNILATERAL EM ONCOLOGIA";3043,67
"0416020178 LINFADENECTOMIA CERVICAL SUPRAOMO-HIOIDEA UNILATERAL EM ONCOLOGIA";6924,56
"0416020194 LINFADENECTOMIA MEDIASTINAL EM ONCOLOGIA";9241,08
"0416020208 LINFADENECTOMIA SUPRACLAVICULAR UNILATERAL EM ONCOLOGIA";13749,81
"0416020216 LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA";20233,38
"0416020224 LINFADENECTOMIA RETROPERITONIAL EM ONCOLOGIA";6218,51
"0416020240 LINFADENECTOMIA SELETIVA GUIADA (LINFONODO SENTINELA) EM ONCOLOGIA";2026,29
"0416030084 PARATIREOIDECTOMIA TOTAL EM ONCOLOGIA";4025,84
"0416030173 MAXILECTOMIA PARCIAL EM ONCOLOGIA";4644,98
"0416030254 LARINGECTOMIA PARCIAL EM ONCOLOGIA";5182,50
"0416030270 TIREOIDECTOMIA TOTAL EM ONCOLOGIA";55897,74
"0416030297 TRAQUEOSTOMIA TRANSTUMORAL EM ONCOLOGIA";1106,50
"0416030300 MANDIBULECTOMIA PARCIAL EM ONCOLOGIA";6672,69
"0416040012 ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA";6861,20
"0416040055 ESOFAGOGASTRECTOMIA SEM TORACOTOMIA EM ONCOLOGIA";27595,15
"0416040128 DUODENOPANCREATECTOMIA EM ONCOLOGIA";8699,73
"0416040144 RESSECÇÃO DE TUMOR RETROPERITONIAL COM RESSECÇÃO DE ÓRGÃOS CONTÍGUOS EM ONCOLOGIA";9418,99
"0416040195 QUIMIOEMBOLIZAÇÃO DE CARCINOMA HEPÁTICO";5502,17
"0416040209 BIOPSIAS MULTIPLAS INTRA-ABDOMINAIS EM ONCOLOGIA";95156,68
"0416040217 GASTRECTOMIA PARCIAL EM ONCOLOGIA";7597,87
"0416040276 RESSECÇÃO ALARGADA DE TUMOR DE INTESTINO EM ONCOLOGIA";57750,07
"0416050026 COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA";47766,37
"0416050077 RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA";7106,94
"0416060056 HISTERECTOMIA COM RESSECÇÃO DE ÓRGÃOS CONTÍGUOS EM ONCOLOGIA";6602,75
"0416060064 HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA";6713,20
"0416060110 HISTERECTOMIA COM OU SEM ANEXECTOMIA (UNI / BILATERAL) EM ONCOLOGIA";8212,39
"0416060129 LAPAROTOMIA PARA AVALIAÇÃO DE TUMOR DE OVARIO EM ONCOLOGIA";79252,52
"0416080014 EXCISÂO E ENXERTO DE PELE EM ONCOLOGIA";6168,61
"0416080030 EXCISÃO E SUTURA COM PLASTICA EM Z NA PELE EM ONCOLOGIA";5290,42
"0416080081 RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO (QUALQUER PARTE) EM ONCOLOGIA";61628,14
"0416080120 EXTIRPAÇÃO MÚLTIPLA DE LESÃO DA PELE OU TECIDO CELULAR SUBCUTÂNEO EM ONCOLOGIA";7743,90
"0416090010 AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA";9608,74
"0416090028 AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES EM ONCOLOGIA";3460,74
"0416090109 RESSECÇÃO DE TUMOR ÓSSEO COM SUBSTITUIÇÃO (ENDOPRÓTESE) OU COM RECONSTRUÇÃO E FIXAÇÃO EM ON";22180,92
"0416090133 RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA";4803,35
"0416110010 LOBECTOMIA PULMONAR EM ONCOLOGIA";4623,92
"0416110053 TORACOTOMIA EXPLORADORA EM ONCOLOGIA";6158,25
"0416110061 SEGMENTECTOMIA PULMONAR EM ONCOLOGIA";4179,14
"0416120024 MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA";9230,43
"0416120032 MASTECTOMIA SIMPLES EM ONCOLOGIA";5166,24
"0416120040 RESSECÇÃO DE LESÃO NÃO PALPÁVEL DE MAMA COM MARCAÇÃO EM ONCOLOGIA (POR MAMA)";22955,71
"0416120059 SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA";4757,26
"0503010014 AÇÕES RELACIONADAS A DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE";50840,60
"0503010022 AÇÕES RELACIONADAS A DOAÇÃO DE ÓRGÃOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENTO";42622,47
"0503020028 NEFROURETERECTOMIA UNILATERAL P/ TRANSPLANTE";2178,70
"0504010026 PROCESSAMENTO DE CORNEA / ESCLERA";14413,60
"0505010089 TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO -";72004,78
"0505010097 TRANSPLANTE DE CORNEA";20700,00
"0505010100 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS)";1129,30
"0505020050 TRANSPLANTE DE FIGADO (ORGAO DE DOADOR FALECIDO)";448038,79
"0505020092 TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)";106026,75
"0505020106 TRANSPLANTE DE RIM (ORGAO DE DOADOR VIVO)";35071,66
"0505020114 TRANSPLANTE SIMULTANEO DE PANCREAS E RIM";57251,97
"0506020037 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTAD";3343,24
"0506020045 TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS";3858,25
"0506020053 TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE RIM - PÓS TRANSPLANTE CRÍTICO";1714,62
"0506020096 TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO";11013,56
"0506020100 TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS- PÓS TRA";3755,94
"Total";20116195,06
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
